zipcode,Crime,House,Restau
30329,1,489677,725
30322,0,489677,918
30308,3841,428072,1640
30313,1916,308394,1504
30336,17,169948,82
30344,27,169978,482
30327,771,1729137,416
30342,621,948750,564
30319,162,717699,784
30312,4119,543276,1402
30316,2212,355735,365
30331,6204,211531,49
30305,2862,1031511,662
30033,14,0,546
30354,1621,167079,449
30310,6915,247475,630
30303,4001,232523,1488
30317,1095,454995,740
30307,2961,697854,1306
30314,4681,170175,939
30306,1890,878859,1605
30324,4043,549532,1057
30326,2694,669564,697
30311,5201,181797,171
30309,4125,679671,1334
30318,11424,336383,403
30315,6783,241195,361
30363,825,401624,1464
30317,1095,454995,740
30334,1,232523,1451
30304,1621,167079,350
